,title,genre
748,Comfortably Numb,Rock/Pop
749,Comin' In On A Wing And A Prayer,Musical/Film
750,Coming From,Hip-Hop
751,Commando,Rock/Pop
752,Common People,Rock/Pop
753,Communication Breakdown,Rock/Pop
754,Compared To What?,R & B/Soul
755,Complete Control,Rock/Pop
756,Components,Jazz
757,Composition No. 112,Jazz
758,Composition No. 16 (+101),Jazz
759,Composition No. 40a,Jazz
760,Composition No. 40f,Jazz
761,Computer Game,Dance/Electronica
762,Conception,Jazz
763,Concrete And Clay,Rock/Pop
764,Concrete Schoolyard,Hip-Hop
765,Confusion,Dance/Electronica
766,Consider Yourself,Musical/Film
767,Constant Craving,Rock/Pop
768,Constellation,Jazz
769,Consternation,Jazz
770,Contemplation,Jazz
771,"Continental, The",Musical/Film
772,Convolutions,Hip-Hop
773,Cook With Honey,Folk/Roots
774,Cool Blues,Jazz
775,Cool For Cats,Rock/Pop
776,Cool Water,Country/Bluegrass
777,Cop Killa,Rock/Pop
778,Copenhagen,Jazz
779,Copperhead Road,Country/Bluegrass
780,Copyright Royalties,Jazz
781,Cortez The Killer,Rock/Pop
782,Cosmic Dancer,Rock/Pop
783,"Cottage For Sale, A",Jazz
784,Cotton Fields,Folk/Roots
785,Could I Be Your Girl?,Rock/Pop
786,Could It Be I'm Falling In Love?,R & B/Soul
787,Countdown,Jazz
788,Country Preacher,Jazz
789,Cousin Mary,Jazz
790,Cow Cow Blues,Blues
791,Cow Cow Boogie,Jazz
792,Cowgirl In The Sand,Rock/Pop
793,Coyote,Rock/Pop
794,Crazy,Country/Bluegrass
795,Crazy,Dance/Electronica
796,Crazy Arms,Country/Bluegrass
797,Crazy Blues,Blues
798,Crazy Little Thing Called Love,Rock/Pop
799,Crazy Rhythm,Jazz
800,Crazy Train,Rock/Pop
801,"Crazy, He Calls Me (Crazy, She Calls Me)",Jazz
802,Creep,Rock/Pop
803,Creep,R & B/Soul
804,Creole Belles,Jazz
805,Crepuscule With Nellie (Moonlight With Nellie),Jazz
806,Crescent,Jazz
807,Crescent City,Jazz
808,Criminology,Hip-Hop
809,Crispy Bacon,Dance/Electronica
810,Critical Beatdown,Hip-Hop
811,Crook County,Hip-Hop
812,Cross Road Blues (aka Crossroad; aka Crossroad Blues),Blues
813,"Cross, The",Gospel
814,Crosscut Saw,Blues
815,Crossover,Hip-Hop
816,Crossroads (aka Tha Crossroads; aka Tha Crossroad),Hip-Hop
817,Crucify,Rock/Pop
818,Cruisin',R & B/Soul
819,Cruising Down the River On A Sunday Afternoon,Musical/Film
820,Cry,R & B/Soul
821,Cry,Dance/Electronica
822,Cry Baby,R & B/Soul
823,Cry Cry Cry,Country/Bluegrass
824,Cry Me A River,Jazz
825,Cry Of The Wild Goose,Country/Bluegrass
826,Crying,Rock/Pop
827,"Crying Game, The",Rock/Pop
828,Crying In The Chapel,Gospel
829,Crying Time,Country/Bluegrass
830,Crystal Silence,Jazz
831,Cuban Love Song,Jazz
832,Cuddle Up A Little Closer,Musical/Film
833,Cult Of Personality,Rock/Pop
834,Cum On Everybody,Hip-Hop
835,"Cup Of Coffee, A Sandwich, And You, A",Musical/Film
836,Cupid,R & B/Soul
837,Curly Headed Baby,Folk/Roots
838,Cut The Cake,R & B/Soul
839,Cut Your Hair,Rock/Pop
840,Cypress Grove Blues,Blues
841,Cyprus Avenue,Blues
842,,
843,Da Butt,R & B/Soul
844,Da Dip,Hip-Hop
845,Da Do Ron Ron,R & B/Soul
846,Da Funk,Dance/Electronica
847,Da Mystery Of Chessboxin',Hip-Hop
848,Daahoud,Jazz
849,Daddy Sang Bass,Country/Bluegrass
850,Dallas Blues,Ragtime
851,Damaged Goods,Rock/Pop
852,"Damn Right, I've Got The Blues",Blues
853,Dance Away,Rock/Pop
854,Dance Me To The End Of Love,Rock/Pop
855,Dance Of The Infidels,Jazz
856,Dance To My Ministry,Hip-Hop
857,Dance To The Music,R & B/Soul
858,Dance Without Sleeping,Folk/Roots
859,"Dance, The",Country/Bluegrass
860,"Dance, You Monster, To My Soft Song",Jazz
861,Dancing Barefoot,Rock/Pop
862,Dancing In The Dark,Jazz
863,Dancing In The Dark,Rock/Pop
864,Dancing In The Street,R & B/Soul
865,Dancing Queen,Dance/Electronica
866,Dang Me,Country/Bluegrass
867,"Dangling Conversation, The",Folk/Roots
868,Daniel,Rock/Pop
869,Daphne,Jazz
870,Dardanella,Jazz
871,Dark As A Dungeon,Folk/Roots
872,Dark End Of The Street,R & B/Soul
873,Dark Eyed Molly,Folk/Roots
874,Dark Globe,Folk/Roots
875,"Dark Keys, The",Jazz
876,Dark Magus,Dance/Electronica
877,Dark Moon,Country/Bluegrass
878,"Dark Prince, The",Jazz
879,Dark Star,Rock/Pop
880,"Dark Was The Night, Cold Was The Ground",Gospel
881,"Darktown Strutters' Ball, The",Jazz
882,Darn Folksinger,Folk/Roots
883,Darn That Dream,Jazz
884,Dat Dere,Jazz
885,Datskat,Hip-Hop
886,Davenport Blues,Jazz
887,Dawgology,Country/Bluegrass
888,"Day In The Life Of A Fool, A (Manha De Carnaval)",Jazz
889,"Day In The Life, A",Rock/Pop
890,"Day Of Sooperman Lover, A",Hip-Hop
891,Day Tripper,Rock/Pop
892,Daydream (aka What A Day For A Daydream),Folk/Roots
893,"Days Of Wine And Roses, The",Musical/Film
894,Dazed And Confused,Rock/Pop
895,Dead Eye,Dance/Electronica
896,Dead Presidents,Hip-Hop
897,Dead Wrong,Hip-Hop
898,Dear Abby,Folk/Roots
899,Dear God,Rock/Pop
900,Dear Hearts And Gentle People,Country/Bluegrass
901,Dear Landlord,Rock/Pop
902,Dear Mama,Hip-Hop
903,Dear Mrs. Roosevelt,Folk/Roots
904,Dedicated To The One I Love,R & B/Soul
905,Dedicated To You,Jazz
906,Deed I Do,Jazz
907,Deep Cover,Hip-Hop
908,"Deep In My Heart, Dear",Musical/Film
909,Deep In The Heart Of Texas,Country/Bluegrass
910,Deep Purple,Jazz
911,Definition,Hip-Hop
912,Delirium Tremens,Folk/Roots
913,Delta Dawn,Country/Bluegrass
914,Demagogue,Rock/Pop
915,Democracy,Rock/Pop
916,Deportee,Folk/Roots
917,Der Fuehrer's Face,Musical/Film
918,Desafinado (Slightly Out Of Tune),Jazz
919,"Design For Life, A",Rock/Pop
920,Desolation Row,Rock/Pop
921,Desperado,Country/Bluegrass
922,Desperados Waiting For A Train,Country/Bluegrass
923,Detour,Country/Bluegrass
924,Detroit City,Country/Bluegrass
925,Devil Got My Woman,Blues
926,"Devil Went Down To Georgia, The",Country/Bluegrass
927,Devil With The Blue Dress,R & B/Soul
928,Devil Without A Cause,Rock/Pop
929,Devil's Haircut,Rock/Pop
930,Devotion,Jazz
931,Dexter Rides Again,Jazz
932,Diamonds And Rust,Folk/Roots
933,Diamonds Are A Girl's Best Friend,Jazz
934,Diamonds On The Soles Of Her Shoes,Rock/Pop
935,Diane,Jazz
936,Did You Ever Have To Make Up Your Mind,Rock/Pop
937,Didn't We?,Rock/Pop
938,Diety,Rock/Pop
939,Different Drum,Country/Bluegrass
940,Dinah,Jazz
941,Dinah-Moe Humm,Rock/Pop
942,Ding-Dong! The Witch Is Dead,Musical/Film
943,Dirty Old Town,Folk/Roots
944,Disco Inferno,Dance/Electronica
945,D-I-V-O-R-C-E,Country/Bluegrass
946,Divorce Song,Rock/Pop
947,Dizzy Atmosphere,Jazz
948,Dizzy Dizzy,Dance/Electronica
949,Dizzy Miss Lizzy,R & B/Soul
950,Django,Jazz
951,Django Castle,Jazz
952,Djangology,Jazz
953,Do Do Do,Musical/Film
954,Do It Again,Musical/Film
955,Do It Again,Rock/Pop
956,Do Me Right,R & B/Soul
957,Do Nothin' Till You Hear From Me,Jazz
958,"Do Right Woman, Do Right Man",R & B/Soul
959,Do The Reggay,Reggae
960,Do Ya Think I'm Sexy?,Dance/Electronica
961,Do You Believe In Magic?,Rock/Pop
962,Do You Hear The People Sing,Musical/Film
963,Do You Know The Way To San Jose?,Rock/Pop
964,Do You Love Me?,R & B/Soul
965,Do You Really Want To Hurt Me?,Rock/Pop
966,Do You Wanna Dance?,Rock/Pop
967,Does Fort Worth Ever Cross Your Mind?,Country/Bluegrass
968,Doin' Our Own Dang,Hip-Hop
969,Doin' The New Low Down,Jazz
970,Doin' What Comes Natur'lly,Musical/Film
971,Doll Parts,Rock/Pop
972,Domino,R & B/Soul
973,Don Quixote,Folk/Roots
974,Done By The Forces Of Nature,Hip-Hop
975,Done Got Old,Blues
976,"Donkey Serenade, The",Musical/Film
977,Don't,Folk/Roots
978,Don't Be Cruel,R & B/Soul
979,Don't Be Cruel (To A Heart That's True),Rock/Pop
980,Don't Beat Me Down,Folk/Roots
981,Don't Believe The Hype,Hip-Hop
982,Don't Blame Me,Jazz
983,Don't Bogart That Joint,Rock/Pop
984,Don't Come Home A-Drinkin' (With Lovin' On Your Mind),Country/Bluegrass
985,"Don't Cry For Me, Argentina",Musical/Film
986,Don't Do Me Like That,Rock/Pop
987,Don't Dream It's Over,Rock/Pop
988,Don't Ever Leave Me,Musical/Film
989,Don't Explain,Jazz
990,Don't Fear The Reaper,Rock/Pop
991,Don't Fence Me In,Country/Bluegrass
992,Don't Get Around Much Anymore,Jazz
993,Don't Go To Strangers,Jazz
994,Don't Interrupt The Sorrow,Rock/Pop
995,Don't It Make My Brown Eyes Blue,Country/Bluegrass
996,Don't Leave Me This Way,Dance/Electronica
997,Don't Let It Bring You Down,Rock/Pop
998,Don't Let It Go To Your Head,Hip-Hop
999,Don't Let Me Be Misunderstood,R & B/Soul
1000,Don't Let The Dragon Eat Your Mother,Jazz
1001,Don't Let The Stars Get In Your Eyes,Country/Bluegrass
1002,Don't Let The Sun Go Down On Me,Rock/Pop
1003,Don't Let Your Mouth Write A Check That Your Ass Can't Cash,Hip-Hop
1004,Don't Look Back In Anger,Rock/Pop
1005,Don't Rain On My Parade,Musical/Film
1006,Don't Rock The Jukebox,Country/Bluegrass
1007,Don't Sit Under the Apple Tree (With Anyone Else But Me),Swing
1008,Don't Stop,Rock/Pop
1009,Don't Stop Till You Get Enough,Dance/Electronica
1010,Don't Take Your Guns To Town,Country/Bluegrass
1011,"Don't Think Twice, It's All Right",Folk/Roots
1012,Don't Touch My Hat,Country/Bluegrass
1013,Don't Worry 'Bout Me,Jazz
1014,Don't Worry 'Bout Me,Country/Bluegrass
1015,"Don't Worry, Baby",Rock/Pop
1016,"Don't Worry, Be Happy",Rock/Pop
1017,Don't You (Forget About Me),Rock/Pop
1018,Don't You Want Me?,Rock/Pop
1019,Don't You Want Me?,Dance/Electronica
1020,Doo Wop (That Thing),Hip-Hop
1021,Doodlin',Jazz
1022,Dooms Night,Dance/Electronica
1023,Doowutchyalike,Hip-Hop
1024,Dope Head Blues,Blues
1025,Do-Re-Mi,Musical/Film
1026,"Do-Re-Mi, The",Folk/Roots
1027,Double Dutch Bus,Hip-Hop
1028,Double-O Seven (007/Shantytown),Reggae
1029,Do-Wacka-Do,Country/Bluegrass
1030,Down By The Henry Moore,Folk/Roots
1031,Down By The Old Mill Stream,Musical/Film
1032,Down By The River,Rock/Pop
1033,Down Hearted Blues,Blues
1034,Down Home Blues,Blues
1035,Down In Brazil,Jazz
1036,Down In It,Rock/Pop
1037,Down In The Tube Station At Midnight,Rock/Pop
1038,Down On Bended Knee,Blues
1039,Down On Me,R & B/Soul
1040,Down On The Corner (Willie And The Poor Boys),Rock/Pop
1041,Down To Zero,R & B/Soul
1042,Down Under,Rock/Pop
1043,Down Where The Wurzburger Flows,Musical/Film
1044,Downhearted Blues,Blues
1045,Downtown,Rock/Pop
1046,Downtown Train,Rock/Pop
1047,Dr. Bombay,Hip-Hop
1048,Dr. Feelgood,Rock/Pop
1049,Dr. Funkenstein,R & B/Soul
1050,Draw The Line,Rock/Pop
1051,Dream A Little Dream Of Me,Jazz
1052,Dream Lover,Rock/Pop
1053,Dream On,Rock/Pop
1054,Dream Universe,Dance/Electronica
1055,Dreamer,Dance/Electronica
1056,Dreamland,Jazz
1057,Dreams,Rock/Pop
1058,Dreams Of Heaven,Dance/Electronica
1059,Drift Away,R & B/Soul
1060,Driftin' Blues,Blues
1061,Drinkin' Wine Spo-Dee-O-Dee,R & B/Soul
1062,"Drinking Song, The (aka Drink, Drink, Drink)",Musical/Film
1063,Drive,Rock/Pop
1064,Drive My Car,Rock/Pop
1065,Drivin' My Life Away,Country/Bluegrass
1066,Drivin' Wheel,Blues
1067,Drop A Beat,Dance/Electronica
1068,Drop The Bomb,Hip-Hop
1069,Dropkick Me Jesus (Through The Goalposts Of Life),Country/Bluegrass
1070,Drown In My Own Tears,R & B/Soul
1071,Dry Spell Blues,Blues
1072,Duality,Dance/Electronica
1073,Duchess,Rock/Pop
1074,Dude (Looks Like A Lady),Rock/Pop
1075,Dueling Banjos (Deliverance Theme),Country/Bluegrass
1076,"Duke, The",Jazz
1077,Duncan,Folk/Roots
1078,Durham Town (The Leavin'),Folk/Roots
1079,Dust In The Wind,Rock/Pop
1080,Dutchman's Gold,Country/Bluegrass
1081,,
1082,E. S. P.,Jazz
1083,Early Morning Blues,Blues
1084,Early Morning Rain,Folk/Roots
1085,Earth Angel,R & B/Soul
1086,Earth People,Hip-Hop
1087,East Of The Sun (And West Of The Moon),Jazz
1088,East St. Louis Toodle-oo,Jazz
1089,Easter Parade,Musical/Film
1090,Easy Living,Jazz
1091,Easy To Be Hard,Musical/Film
1092,Easy To Love,Jazz
1093,Easy's Getting Harder Every Day,Country/Bluegrass
1094,Ebb Tide,Jazz
1095,Ebonics,Hip-Hop
1096,Echo Beach,Rock/Pop
1097,Echos Of The Future,Jazz
1098,Eddie's Twister,Jazz
1099,Edelweiss,Musical/Film
1100,Editions Of You,Rock/Pop
1101,Eggs And Sausage,Jazz
1102,Eight Miles High,Rock/Pop
1103,El Condor Pasa,Folk/Roots
1104,El Nino,Dance/Electronica
1105,El Paso,Country/Bluegrass
1106,El Viento,Jazz
1107,Eleanor Rigby,Rock/Pop
1108,Electric Avenue,R & B/Soul
1109,Electric Counterpoint,Jazz
1110,Electric Uncle Sam,Rock/Pop
1111,Electricity,Rock/Pop
1112,"Elements, The",Musical/Film
1113,Elevators (Me And You),Hip-Hop
1114,Eleven,Jazz
1115,Elvira,Country/Bluegrass
1116,Embraceable You,Jazz
1117,Embryonic Journey,Rock/Pop
1118,Emotional Weather Report,Jazz
1119,Emotions,Hip-Hop
1120,Empire State Human,Rock/Pop
1121,"End Of A Love Affair, The",Jazz
1122,End Of The Road,R & B/Soul
1123,"End Of The World, The",Country/Bluegrass
1124,"End, The",Rock/Pop
1125,Endangered Species (Tales From the Darkside),Hip-Hop
1126,Energy Flash,Dance/Electronica
1127,Energy Flow,Dance/Electronica
1128,"Engine, Engine, #9",Country/Bluegrass
1129,English Country Garden (Country Gardens),Classical/ Contemporary
1130,Enjoy The Silence,Dance/Electronica
1131,Enter Sandman,Rock/Pop
1132,"Entertainer, The",Ragtime
1133,Epic,Rock/Pop
1134,Epistrophy,Jazz
1135,Equal Rights,Reggae
1136,Eric B. Is President,Hip-Hop
1137,Eric's Trip,Rock/Pop
1138,Eruption,Rock/Pop
1139,Escapade,R & B/Soul
1140,"Eton Rifles, The",Rock/Pop
1141,Eulogy To Oscar Romero,Jazz
1142,Evangeline,Folk/Roots
1143,Even The Losers,Rock/Pop
1144,Evening In Paris,Jazz
1145,Ever Fallen In Love?,Rock/Pop
1146,Every Breath You Take,Rock/Pop
1147,Every Cloud,Jazz
1148,Every Day I Have The Blues (aka Nobody Loves Me),Blues
1149,Every Day I Write The Book,Rock/Pop
1150,Every Day Is Like Sunday,Rock/Pop
1151,Every Little Movement Has A Meaning All Its Own,Musical/Film
1152,Every Sperm Is Sacred,Musical/Film
1153,Every Time Two Fools Collide,Country/Bluegrass
1154,Every Time We Say Goodbye,Jazz
1155,Everybody Hurts,Rock/Pop
1156,Everybody Knows,Rock/Pop
1157,"Everybody Loves My Baby, But My Baby Don't Love Nobody But Me",Jazz
1158,Everybody Needs Somebody To Love,R & B/Soul
1159,Everybody Plays The Fool,R & B/Soul
1160,Everybody Wants To Rule The World,Rock/Pop
1161,"Everybody, Everybody",Dance/Electronica
1162,Everybody's Somebody's Fool,Country/Bluegrass
1163,Everybody's Talkin',Folk/Roots
1164,Everyday People,R & B/Soul
1165,Everyday Sunshine,Rock/Pop
1166,Everything Flows,Rock/Pop
1167,Everything Is Everything,Hip-Hop
1168,Everything Is Peaches Down In Georgia,Musical/Film
1169,Everything Reminds Me Of My Dog,Folk/Roots
1170,Everything You've Done Wrong,Rock/Pop
1171,Everything's Coming Up Roses,Musical/Film
1172,Everything's Everything,Hip-Hop
1173,Everything's Gone Green,Dance/Electronica
1174,Everything's Okay,Country/Bluegrass
1175,Evidence,Jazz
1176,Evil,Blues
1177,Evil That Men Do,Hip-Hop
1178,Evil Ways,Rock/Pop
1179,"Evolution Of Man, The",Hip-Hop
1180,Excursions,Hip-Hop
1181,Excuse Me,Dance/Electronica
1182,Excuses,Blues
1183,Express,Dance/Electronica
1184,Express Yourself,Dance/Electronica
1185,Express Yourself,Hip-Hop
1186,Expression,Hip-Hop
1187,Expressway To Yr Skull,Rock/Pop
1188,"Extremist, The",Dance/Electronica
1189,Eyes Of A Stranger,Rock/Pop
1190,,
1191,F Jam,Dance/Electronica
1192,Fa All Y'All,Hip-Hop
1193,Fables Of Faubus,Jazz
1194,Fade To Black,Rock/Pop
1195,Faded Love,Country/Bluegrass
1196,Fair Play,R & B/Soul
1197,Fairest Of The Fair,Musical/Film
1198,Fairy Tale Of New York,Folk/Roots
1199,Faith,Rock/Pop
1200,Faith Collapsing,Rock/Pop
1201,Fake Plastic Trees,Rock/Pop
1202,Fall,Jazz
1203,Fall At Your Feet,Rock/Pop
1204,Fall On Me,Rock/Pop
1205,Fallin',R & B/Soul
1206,Falling In Love Again (Can't Help It),Musical/Film
1207,Falling In Love With Love,Jazz
1208,Falling Rain Blues,Blues
1209,Fame,Rock/Pop
1210,Family Affair,R & B/Soul
1211,Family Tradition,Country/Bluegrass
1212,Famous Blue Raincoat,Rock/Pop
1213,Fanfare For The Common Man,Classical/ Contemporary
1214,Fantasy,R & B/Soul
1215,Far Away Places,Musical/Film
1216,"Far, Far Away",Country/Bluegrass
1217,Fare Thee Well Love,Folk/Roots
1218,"Farmer And The Cowman, The",Musical/Film
1219,Fascinating Rhythm,Jazz
1220,Fascination,Musical/Film
1221,Fashion,Rock/Pop
1222,Fast Car,Folk/Roots
1223,Fastest Rhyme,Hip-Hop
1224,Fear Of Flying,Folk/Roots
1225,Feel Like Going Home,Country/Bluegrass
1226,Feel Like Makin' Love,R & B/Soul
1227,Feelin' Alright,R & B/Soul
1228,Feels Good,R & B/Soul
1229,Feet Music,Jazz
1230,Fever,R & B/Soul
1231,Fields Of Gold,Rock/Pop
1232,Fifty Ways To Leave Your Lover,Rock/Pop
1233,"Fifty-Four Forty-Six, That's My Number (54-46)",Reggae
1234,Fifty-Ninth Street Bridge Song (Feelin' Groovy),Folk/Roots
1235,Fifty-Second Street Theme (52nd Street Theme),Jazz
1236,Fight For Your Right To Party,Hip-Hop
1237,Fight The Power,R & B/Soul
1238,Fight The Power,Hip-Hop
1239,Fin,Rock/Pop
1240,Final Solution,Rock/Pop
1241,Fine And Mellow,Blues
1242,"Fine Romance, A",Jazz
1243,Fire,Rock/Pop
1244,Fire,Rock/Pop
1245,Fire And Rain,Folk/Roots
1246,Fire In Which You Burn,Hip-Hop
1247,Firestarter,Dance/Electronica
1248,"First Cut Is The Deepest, The",R & B/Soul
1249,"First Time Ever I Saw Your Face, The",R & B/Soul
1250,First We Take Manhattan,Rock/Pop
1251,Fish Heads,Rock/Pop
1252,Five Feet High And Rising,Country/Bluegrass
1253,"Five Foot Two, Eyes Of Blue",Jazz
1254,Five Hundred Miles (500 Miles),Folk/Roots
1255,Five Minutes Of Funk,Hip-Hop
1256,Five-Four Getaway,Jazz
1257,Fixin' To Die Blues,Blues
1258,Fixing A Hole,Rock/Pop
1259,Flamenco Sketches,Jazz
1260,Flaming June,Dance/Electronica
1261,Flash Light,R & B/Soul
1262,Flava In Ya Ear,Hip-Hop
1263,Flight Of The Bumblebee,Classical/ Contemporary
1264,"Flip, Flop And Fly",Blues
1265,Floating Bridge,Blues
1266,Flower,Rock/Pop
1267,Flower Lady,Folk/Roots
1268,"Flowers Of Bermuda, The",Folk/Roots
1269,Flowers On The Wall,Country/Bluegrass
1270,Fly Me To The Moon,Jazz
1271,"Fly, Robin, Fly",Dance/Electronica
1272,Flying,Rock/Pop
1273,Flying Down To Rio,Jazz
1274,Flying Home,Swing
1275,Flying On Your Own,Country/Bluegrass
1276,Focus On Sanity,Jazz
1277,Fogarty's Cove,Folk/Roots
1278,"Foggy Day, A",Jazz
1279,Foggy Mountain Breakdown,Country/Bluegrass
1280,"Fold4, Wrap5",Dance/Electronica
1281,Folks Who Live On The Hill,Jazz
1282,Follow Me,Dance/Electronica
1283,Follow Me Not,Hip-Hop
1284,Follow The Leader,Hip-Hop
1285,Follow Your Heart,Jazz
1286,Folsom Prison Blues,Country/Bluegrass
1287,"Fool On The Hill, The",Rock/Pop
1288,"Fool Such As I, A",Country/Bluegrass
1289,"Fool, Fool, Fool",R & B/Soul
1290,Foolish Love,Rock/Pop
1291,Fool's Gold,Rock/Pop
1292,Fools Rush In (Where Angels Fear To Tread),Jazz
1293,Footprints,Jazz
1294,For All We Know,Jazz
1295,For All We Know,Rock/Pop
1296,For An Angel,Dance/Electronica
1297,For Lovin' Me,Folk/Roots
1298,For Me And My Gal,Jazz
1299,For Miles,Jazz
1300,For No Reason,Hip-Hop
1301,For Once In My Life,R & B/Soul
1302,For Sentimental Reasons,Jazz
1303,For The Good Times,Country/Bluegrass
1304,For The Love Of Money,R & B/Soul
1305,For The Roses,Rock/Pop
1306,For Those About To Rock (We Salute You),Rock/Pop
1307,"For What It's Worth (Stop, Hey, What's That Sound)",Rock/Pop
1308,For Your Love,R & B/Soul
1309,For Your Precious Love,R & B/Soul
1310,"Forever And Ever, Amen",Country/Bluegrass
1311,Forever Young,Folk/Roots
1312,Forgot About Dre,Hip-Hop
1313,Fortunate Son,Rock/Pop
1314,Forty-five Minutes From Broadway,Musical/Film
1315,Forty-four Blues (44 Blues),Blues
1316,Forty-second Street (42nd Street),Musical/Film
1317,Fotheringay,Folk/Roots
1318,Four A. M. (4 A. M.),Rock/Pop
1319,Four By Five,Jazz
1320,"Four Minutes Thirty Three Seconds (4' 33"")",Classical/ Contemporary
1321,Four On Six,Jazz
1322,Four Strong Winds,Folk/Roots
1323,Fourth Chamber (4th Chamber),Hip-Hop
1324,Fourth Of July (4th Of July),Rock/Pop
1325,Fox On The Run,Country/Bluegrass
1326,Foxey Lady,Rock/Pop
1327,Frankie Teardrop,Dance/Electronica
1328,Freak Scene,Rock/Pop
1329,Freaks Come Out At Night,Hip-Hop
1330,Freaky Tales,Hip-Hop
1331,Freddie Freeloader,Jazz
1332,Freddie's Dead,R & B/Soul
1333,Free Bird (Freebird),Rock/Pop
1334,Free Fallin',Rock/Pop
1335,Free Flow,Dance/Electronica
1336,Free Man In Paris,Rock/Pop
1337,Free Ride,Rock/Pop
1338,Freedom Jazz Dance,Jazz
1339,Freight Train,Folk/Roots
1340,French Kiss,Dance/Electronica
1341,Fried Bananas,Jazz
1342,Friends In Low Places,Country/Bluegrass
1343,Frog Legs Rag,Ragtime
1344,From A Distance,Country/Bluegrass
1345,From Hank To Hendrix,Rock/Pop
1346,From This Moment On,Jazz
1347,Frosty,Blues
1348,Fuck And Run,Rock/Pop
1349,Fuck Compton,Hip-Hop
1350,Fuck Dub Part 1+2,Dance/Electronica
1351,Fuck Tha Police,Hip-Hop
1352,Fuck Wit Dre Day (And Everybody's Celebratin'),Hip-Hop
1353,Fu-Gee-La,Hip-Hop
1354,Full Of Fire,R & B/Soul
1355,Fun For Me,Dance/Electronica
1356,Fun Fun Fun,Rock/Pop
1357,Fungle Junk,Dance/Electronica
1358,Funkdafied,Hip-Hop
1359,Funkentelechy,R & B/Soul
1360,Funkin' Lesson,Hip-Hop
1361,Funky Dollar Bill,R & B/Soul
1362,Funky Kingston,Reggae
1363,Funkytown,Dance/Electronica
1364,Funny Girl,Musical/Film
1365,Funny How Time Slips Away,Country/Bluegrass
1366,Further On Up The Road (aka Farther Up The Road),Blues
1367,"Future Of The Future, The (Stay Gold)",Dance/Electronica
1368,"Future, The",Rock/Pop
1369,,
1370,G. O. D. (Gaining One's Definition),Hip-Hop
1371,"Galaxy Song, The",Musical/Film
1372,Galbraith Street,Folk/Roots
1373,Galveston,Country/Bluegrass
1374,"Gambler, The",Country/Bluegrass
1375,Gangsta's Paradise,Hip-Hop
1376,Gary Gilmore's Eyes,Rock/Pop
1377,Genius Of Love,R & B/Soul
1378,Gentle On My Mind,Country/Bluegrass
1379,Georgia Lee,Folk/Roots
1380,Georgia On My Mind,Jazz
1381,Georgy Girl,Musical/Film
1382,Get A Job,R & B/Soul
1383,Get At Me Dog,Hip-Hop
1384,Get Back,Rock/Pop
1385,Get Behind The Mule,Blues
1386,Get Crunk,Hip-Hop
1387,Get Down On It,Dance/Electronica
1388,Get Down Tonight,Dance/Electronica
1389,Get Happy,Jazz
1390,Get High Tonight,Hip-Hop
1391,Get It On (aka Bang A Gong),Rock/Pop
1392,Get Me To The Church On Time,Musical/Film
1393,Get Off My Cloud,Rock/Pop
1394,Get Out Of Town,Jazz
1395,Get Out Tha Way,Hip-Hop
1396,Get Ready,R & B/Soul
1397,Get Rhythm,Country/Bluegrass
1398,Get The Balance Right!,Dance/Electronica
1399,Get Up (I Feel Like Being A) Sex Machine,R & B/Soul
1400,Get Up And Go,Folk/Roots
1401,Get Up Offa That Thing,Dance/Electronica
1402,"Get Up, Stand Up",Reggae
1403,Get Your Hands Off My Man,Dance/Electronica
1404,Get Your Kicks On Route 66,Jazz
1405,Gette'm Crunk,Hip-Hop
1406,Getting To Know You,Musical/Film
1407,Ghetto Life,R & B/Soul
1408,Ghetto Love,Hip-Hop
1409,Ghetto Thang,Hip-Hop
1410,"Ghetto, The",R & B/Soul
1411,Ghost Town,Reggae
1412,Ghosts Of Cape Horn,Folk/Roots
1413,Giannina Mia,Musical/Film
1414,Giant Steps,Jazz
1415,Gigantic,Rock/Pop
1416,Gillian,Folk/Roots
1417,"Gimme A Little Kiss, Will Ya, Huh?",Jazz
1418,Gimme All Your Lovin',Rock/Pop
1419,Gimme Shelter,Rock/Pop
1420,Gimme Some Lovin',R & B/Soul
1421,Gimme That Wine,Jazz
1422,Gin And Juice,Hip-Hop
1423,Gin Soaked Boy,Blues
1424,"Girl Can't Help It, The",R & B/Soul
1425,"Girl From Ipanema, The",Jazz
1426,"Girl Like You, A",Rock/Pop
1427,Girl Of The North Country,Folk/Roots
1428,Girl On A Road,Folk/Roots
1429,Girl With The Sun In Her Head,Dance/Electronica
1430,Girls & Boys,Dance/Electronica
1431,Girls Dem Sugar,Reggae
1432,Girls Just Wanna Have Fun,Rock/Pop
1433,"Girls Next Door, The",Jazz
1434,Give It Away,Rock/Pop
1435,Give It To Me Baby,R & B/Soul
1436,Give Me Back My Wig,Blues
1437,Give Me One Reason,Blues
1438,Give My Regards To Broadway,Musical/Film
1439,Give Peace A Chance,Rock/Pop
1440,Give Up The Funk (Tear The Roof Off The Sucker),R & B/Soul
1441,Glass Onion,Rock/Pop
1442,Glass Sandwich,Rock/Pop
1443,Glen Close,Hip-Hop
1444,Gloomy Sunday,Jazz
1445,Gloria,Rock/Pop
1446,Gloria,Rock/Pop
1447,Glory Box,Dance/Electronica
1448,Glory Of Love,Musical/Film
1449,"Glow Worm, The",Jazz
1450,Go,Dance/Electronica
1451,Go Down Gamblin',Rock/Pop
1452,Go Rest High On That Mountain,Gospel
